publication_id,title,publication_year,publication_type,venue,doi,publication_url,openalex_work_id,cited_by_count,is_open_access,oa_status,source_name,abstract,abstract_len,venue_name,venue_type,language,topic_1,topic_1_score,topic_2,topic_3,subfield,field,domain,topics_all,keywords,concepts,author_institutions,institution_countries,n_authors,referenced_works_count,oa_url,has_rvce_author,is_recent,attribution_confidence
W4252180901,Research trends in Hand Gesture Recognition techniques,2020,article,International Journal of Recent Technology and Engineering (IJRTE),10.35940/ijrte.f7519.038620,https://doi.org/10.35940/ijrte.f7519.038620,https://openalex.org/W4252180901,2,True,diamond,OpenAlex,"Over years’ key board and mouse are among the most effective input devices to the computers. Not much improvement has happened for other modes of inputs like voice and gestures. These kinds of inputs explore the limitations caused by the key board and mouse, which needs actual physical contact. With gestures and voice the physical proximity can be little relaxed and can be used by specially-abled people. Exploring effective Human Computer Interactions (HCI) has always been of great interest for development of new techniques and methods. Gestures are considered as more easy, natural, and intuitive method for communicating with systems. Hand recognition and analysis forms the core of these systems. This paper provides comparative study on state of art technologies that work in this area. The different representation, detection and recognition techniques are discussed. The strength and challenges of different techniques are highlighted. The main aim of this research is to summarize the research progress done till date with different technologies for gesture recognition algorithms, identify areas which need further research.",1138,International Journal of Recent Technology and Engineering (IJRTE),journal,en,Hand Gesture Recognition Systems,0.9999,Robotics and Automated Systems,Gaze Tracking and Assistive Technology,Human-Computer Interaction,Computer Science,Physical Sciences,Hand Gesture Recognition Systems; Robotics and Automated Systems; Gaze Tracking and Assistive Technology,Gesture; Computer science; Gesture recognition; Key (lock); Human–computer interaction; Representation (politics); Natural (archaeology); Multimedia; Data science; Artificial intelligence; Computer security,Gesture; Computer science; Gesture recognition; Key (lock); Human–computer interaction; Representation (politics); Natural (archaeology); Multimedia; Data science; Artificial intelligence,,,2,0,https://doi.org/10.35940/ijrte.f7519.038620,False,False,medium
W2796057380,Behavioral Modeling for Mental Health using Machine Learning Algorithms,2018,article,Journal of Medical Systems,10.1007/s10916-018-0934-5,https://doi.org/10.1007/s10916-018-0934-5,https://openalex.org/W2796057380,266,False,closed,OpenAlex,,0,Journal of Medical Systems,journal,en,Data Stream Mining Techniques,0.9876,Machine Learning in Healthcare,Artificial Intelligence in Healthcare,Artificial Intelligence,Computer Science,Physical Sciences,Data Stream Mining Techniques; Machine Learning in Healthcare; Artificial Intelligence in Healthcare,Machine learning; Mental health; Artificial intelligence; Naive Bayes classifier; Support vector machine; Anxiety; Cluster analysis; Computer science; Psychology; Mental illness; Interpretability; Classifier (UML); Psychiatry,Machine learning; Mental health; Artificial intelligence; Naive Bayes classifier; Support vector machine; Anxiety; Cluster analysis; Computer science; Psychology; Mental illness; Interpretability; Classifier (UML); Psychiatry,Dr. Mohan's Diabetes Specialities Centre; Sri Sivasubramaniya Nadar College of Engineering,IN,3,49,,False,False,medium
W2767942463,A filtering of message in online social network using hybrid classifier,2017,article,Cluster Computing,10.1007/s10586-017-1300-y,https://doi.org/10.1007/s10586-017-1300-y,https://openalex.org/W2767942463,5,False,closed,OpenAlex,,0,Cluster Computing,journal,en,Text and Document Classification Technologies,0.9993,Spam and Phishing Detection,Web Data Mining and Analysis,Artificial Intelligence,Computer Science,Physical Sciences,Text and Document Classification Technologies; Spam and Phishing Detection; Web Data Mining and Analysis,Computer science; Classifier (UML); Artificial intelligence; Social network (sociolinguistics); Machine learning; Data mining; Social media; World Wide Web,Computer science; Classifier (UML); Artificial intelligence; Social network (sociolinguistics); Machine learning; Data mining,Bharathiar University,IN,2,21,,False,False,medium
W2186904486,Classification of Messages in Online Social Network using Short Text Classifier,2014,article,Research Journal of Applied Sciences Engineering and Technology,10.19026/rjaset.8.1125,https://doi.org/10.19026/rjaset.8.1125,https://openalex.org/W2186904486,0,True,hybrid,OpenAlex,"At present Online Social Networks (OSN) usually not provide much support to the user for message filtering. To rectify this issue, a work is proposed which allows OSN users to have a direct control on the messages posted on their walls. Here the users can control the messages posted on their own private space to avoid unwanted messages displayed and they can also block their friend from friends list. A new Global Vector Space Model (GVSM) is used here in text representation and pattern search based classifier is introduced for these OSNs which automatically labels messages in support of content-based filtering. The evaluation result shows the best performance of this study for message filtering in OSN, to customize the user walls and their profiles. Efficiency of this study is proved by the results of accuracy and elapsed time interval.",848,Research Journal of Applied Sciences Engineering and Technology,journal,en,Spam and Phishing Detection,0.9997,Text and Document Classification Technologies,Web Data Mining and Analysis,Information Systems,Computer Science,Physical Sciences,Spam and Phishing Detection; Text and Document Classification Technologies; Web Data Mining and Analysis,Computer science; Classifier (UML); Information retrieval; Support vector machine; Space (punctuation); Vector space model; World Wide Web; Artificial intelligence; Data mining,Computer science; Classifier (UML); Information retrieval; Support vector machine; Space (punctuation); Vector space model; World Wide Web; Artificial intelligence; Data mining,,,2,22,https://www.maxwellsci.com/announce/RJASET/8-1480-1486.pdf,False,False,medium
W4405974487,A Systematic Review on Multi-Modal Federated Learning Techniques for Early Alzheimer's Disease Detection,2024,review,,10.1109/csitss64042.2024.10816863,https://doi.org/10.1109/csitss64042.2024.10816863,https://openalex.org/W4405974487,1,False,closed,OpenAlex,"Effective patient therapy for Alzheimer's disease (AD) depends on an accurate diagnosis, especially in the initial stages when early discovery enables preventive actions to be taken before irreversible brain damage develops. Despite using computational methods in recent studies for AD diagnosis, many machine detection techniques are constrained by congenital observations. While AD can be diagnosed early, prediction is only feasible before the disease's symptoms appear. In this brief review, key literature on AD is examined, and the role of DL in addressing diagnostic challenges is discussed, combined with federated and multimodal learning approaches, can aid researchers in diagnosing the disease at its initial stages.",727,,,en,Brain Tumor Detection and Classification,0.9491,,,Neurology,Neuroscience,Life Sciences,Brain Tumor Detection and Classification,Computer science; Modal; Artificial intelligence; Materials science,Computer science; Modal; Artificial intelligence,,,5,23,,False,True,medium
W4408862849,Performance optimization of Learning Trees modules in the ECL repository,2024,conference-paper,,10.1109/ccis63231.2024.10932096,https://doi.org/10.1109/ccis63231.2024.10932096,https://openalex.org/W4408862849,0,False,closed,OpenAlex,"Multi-Node computation, also known as distributed computing, is a paradigm that allows for the efficient utilization of multiple interconnected nodes or machines to perform complex computational tasks. By dividing the workload and distributing it across multiple nodes, multi-node computation enables parallel processing, scalability, and improved performance for a wide range of applications. HPCC Systems® from LexisNexis Risk Solutions is a proven, open source solution for big data insights that can be implemented by businesses of all sizes. HPCC Systems offers a consistent data-centric programming language, two processing platforms and a single, complete end-to-end architecture for efficient processing. ECL is the Enterprise Control Language designed specifically for huge data projects using the HPCC Systems platform. It is extremely scalable and a powerful declarative data-processing language with native multi-processing capabilities and used for HPCC systems. Some core ECL functions, like the ones handling Learning Tree algorithms of Machine Learning Bundle are recursive in nature and hence high computational time is needed. This paper thus presents a solution to achieve optimized processing of ML learning tree algorithms in ECL through embedding python libraries. The proposed approach was tested on standard datasets and a significant decrease in computation time. For Real Estate Valuation Regression dataset the computation time was reduced from 11.371 seconds to 0.886 seconds using the proposed method showing 1324% improvement with no impact on the accuracy. Random Forests are also implemented using the proposed Decision Tree method allowing the users to specify the number of decision trees to be used in the forest.",1748,,,en,Data Mining Algorithms and Applications,0.8325,Online Learning and Analytics,Neural Networks and Applications,Information Systems,Computer Science,Physical Sciences,Data Mining Algorithms and Applications; Online Learning and Analytics; Neural Networks and Applications,Computer science,Computer science,R.V. College of Engineering,,5,14,,True,True,high
W4404029874,Sentiment Analysis on Cricket Tweets using NLP++,2024,conference-paper,,10.1109/icccnt61001.2024.10724047,https://doi.org/10.1109/icccnt61001.2024.10724047,https://openalex.org/W4404029874,1,False,closed,OpenAlex,"With increasing difficulty for statistical sentiment analysis models to handle linguistic ambiguity and adjust to changing linguistic trends. Prejudices are reinforced by biased training data, which reduces accuracy—particularly in multilingual environments. On the other hand, sentiment analysis that is human-based adds subjectivity and empathy, which are necessary for nuanced interpretation in challenging situations. People are quite good at reading sarcasm, figuring out cultural quirks, and interpreting subtle facial expressions, which greatly improves sentiment analysis’s overall accuracy. This contradiction draws attention to the shortcomings of statistical models and emphasizes how human-based methods can be transformative when traversing the nuances of sentiments in a variety of textual contexts. An advanced programming language designed specifically for natural language processing is called NLP++. It is distinguished by its exceptional capacity to eloquently combine syntax with semantics, akin to text-based languages like PHP or HTML. With the VisualText® integrated development environment, we can write programs that analyses text whether we’re a programmer, linguistics major, or just interested in building software. This paper proposes the idea of using of NLP++, as a human-based reader for the text provided through the cricket tweets, by defining various rules constructed on this text-based language and providing various sentiments for the tweets such as PlayerSentiments, TeamSentiments and so on.",1531,,,en,Customer churn and segmentation,0.9406,Sports Analytics and Performance,,Marketing,"Business, Management and Accounting",Social Sciences,Customer churn and segmentation; Sports Analytics and Performance,Cricket; Artificial intelligence; Computer science; Natural language processing; Sentiment analysis,Cricket; Artificial intelligence; Computer science; Natural language processing; Sentiment analysis,,,4,14,,False,True,medium
W4214775109,Underwater Mine Detection Using Histogram of oriented gradients and Canny Edge Detector,2021,conference-paper,,10.1109/iccst49569.2021.9717404,https://doi.org/10.1109/iccst49569.2021.9717404,https://openalex.org/W4214775109,2,False,closed,OpenAlex,"For the naval defense forces, underwater mines pose a serious threat to safety and security to their lives and property. Studies conducted in this field which used side scan sonar imagery have not yielded sufficient accuracy for the detection of underwater mines and hence can lead to false alarms. In this paper feature extraction methods-Histogram of oriented gradients and edge-based feature extraction are used. These methods were chosen as they have shown very high accuracy in other studies which used different datasets. The data undergoes preprocessing-resizing and converting to grayscale images-after which the feature extraction method is applied. To classify whether the image contains a mine or not, template matching and classification methods feature vectors are used. It was found that this method yields high accuracy for the detection of mines. This same study can be extended for other object detection methods. The method followed here can help the naval defense in more accurate detection hence minimizing the damage which can be incurred in case of contact with a mine.",1091,,,en,Water Quality Monitoring Technologies,0.9945,Advanced Neural Network Applications,Hand Gesture Recognition Systems,Water Science and Technology,Environmental Science,Physical Sciences,Water Quality Monitoring Technologies; Advanced Neural Network Applications; Hand Gesture Recognition Systems,Artificial intelligence; Feature extraction; Computer science; Canny edge detector; Histogram; Preprocessor; Underwater; Computer vision; Edge detection; Grayscale; Feature (linguistics); Pattern recognition (psychology); Histogram of oriented gradients; Enhanced Data Rates for GSM Evolution; Template matching; Feature detection (computer vision); Image (mathematics); Image processing; Geology,Artificial intelligence; Feature extraction; Computer science; Canny edge detector; Histogram; Preprocessor; Underwater; Computer vision; Edge detection; Grayscale; Feature (linguistics); Pattern recognition (psychology); Histogram of oriented gradients; Enhanced Data Rates for GSM Evolution; Template matching; Feature detection (computer vision); Image (mathematics),Kanya Maha Vidyalaya; R.V. College of Engineering,IN,5,10,,True,False,high
W3008706263,Semantic Classification Of Urban Trees Using High Resolution Satellite Imagery,2018,conference-paper,"2018 International Conference on Electrical, Electronics, Communication, Computer, and Optimization Techniques (ICEECCOT)",10.1109/iceeccot43722.2018.9001306,https://doi.org/10.1109/iceeccot43722.2018.9001306,https://openalex.org/W3008706263,3,False,closed,OpenAlex,"In order to manage green resources and framing policies for sustainable development, municipalities need exact and updated inventories of urban vegetation. Automatic tree detection in urban areas using traditional classification techniques remains a very difficult task. To classify urban trees as park, roadside, and institutional-residential trees a novel three-level (pixel-object-patch) framework for semantic classification of urban trees has been proposed. The classification strategy should exploit object features, spectral response, texture, size, geometry which are used to differentiate between vegetation types based on patterns that they possess. Semantic classification is carried out by extracting green channel initially, to distinguish between vegetation and non-vegetation at the pixel level. Next, vegetation-type classification determines ground vegetation and tree vegetation at the object level by performing feature extraction. Lastly at the patch level, considering difference between spectral and textural features, and then analyzing with trained satellite images using SVM and KNN will lead to urban tree classification as park, roadside, and institutional-residential trees. The satellite images of Bengaluru city had been considered to demonstrate the applicability and effectiveness of the proposed method. The results reveal that the proposed method can achieve a satisfactory performance, with the overall accuracy reaching 94%.",1460,"2018 International Conference on Electrical, Electronics, Communication, Computer, and Optimization Techniques (ICEECCOT)",conference,en,Land Use and Ecosystem Services,0.9969,Remote Sensing in Agriculture,Urban Green Space and Health,Global and Planetary Change,Environmental Science,Physical Sciences,Land Use and Ecosystem Services; Remote Sensing in Agriculture; Urban Green Space and Health,Computer science; Support vector machine; Vegetation (pathology); Remote sensing; Feature extraction; Contextual image classification; Decision tree; Artificial intelligence; Pixel; Satellite imagery; Pattern recognition (psychology); Geography; Image (mathematics),Computer science; Support vector machine; Vegetation (pathology); Remote sensing; Feature extraction; Contextual image classification; Decision tree; Artificial intelligence; Pixel; Satellite imagery; Pattern recognition (psychology); Geography,,,3,8,,False,False,medium
W2737650314,Comparative Study of Major Image Enhancement Algorithms,2017,article,European Journal of Engineering and Technology Research,10.24018/ejers.2017.2.7.389,https://doi.org/10.24018/ejers.2017.2.7.389,https://openalex.org/W2737650314,0,True,diamond,OpenAlex,"Image restoration is a process of reconstruction or recovery of an image that has been corrupted or degraded by any degradation phenomenon. Image restoration techniques are inclined towards modeling the degradation and applying the inverse process in order to recover the original image. The critical goal of restoration techniques is to improve the quality of an image in some predefined manner. This present paper is a comparative study of image enhancement techniques used for improving the quality of a given image and evaluate it against the quality of a given image and evaluate it against SNR, PSNR, MSE, and SSIM as metrics.",632,European Journal of Engineering and Technology Research,journal,en,Image Enhancement Techniques,0.994,Image and Signal Denoising Methods,Advanced Image Processing Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,Image Enhancement Techniques; Image and Signal Denoising Methods; Advanced Image Processing Techniques,Image restoration; Image (mathematics); Image quality; Computer science; Process (computing); Artificial intelligence; Degradation (telecommunications); Algorithm; Computer vision; Inverse; Image enhancement; Image processing; Pattern recognition (psychology); Mathematics,Image restoration; Image (mathematics); Image quality; Computer science; Process (computing); Artificial intelligence; Degradation (telecommunications); Algorithm; Computer vision; Inverse; Image enhancement; Image processing; Pattern recognition (psychology),,,3,0,https://doi.org/10.24018/ejers.2017.2.7.389,False,False,medium
W4213256427,Comparative Study of Major Image Enhancement Algorithms,2017,article,European Journal of Engineering and Technology Research,10.24018/ejeng.2017.2.7.389,https://doi.org/10.24018/ejeng.2017.2.7.389,https://openalex.org/W4213256427,0,True,diamond,OpenAlex,"Image restoration is a process of reconstruction or recovery of an image that has been corrupted or degraded by any degradation phenomenon. Image restoration techniques are inclined towards modeling the degradation and applying the inverse process in order to recover the original image. The critical goal of restoration techniques is to improve the quality of an image in some predefined manner. This present paper is a comparative study of image enhancement techniques used for improving the quality of a given image and evaluate it against the quality of a given image and evaluate it against SNR, PSNR, MSE, and SSIM as metrics.",632,European Journal of Engineering and Technology Research,journal,en,Image Enhancement Techniques,0.9941,Image and Signal Denoising Methods,Advanced Image Processing Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,Image Enhancement Techniques; Image and Signal Denoising Methods; Advanced Image Processing Techniques,Image restoration; Image (mathematics); Image quality; Computer science; Process (computing); Artificial intelligence; Degradation (telecommunications); Algorithm; Image enhancement; Computer vision; Image processing; Pattern recognition (psychology),Image restoration; Image (mathematics); Image quality; Computer science; Process (computing); Artificial intelligence; Degradation (telecommunications); Algorithm; Image enhancement; Computer vision; Image processing; Pattern recognition (psychology),R.V. College of Engineering,,3,0,https://doi.org/10.24018/ejeng.2017.2.7.389,True,False,high
W7160940050,Adversarial Attack & Defense on Image-Based CAPTCHA,2026,conference-paper,,10.1109/icsft66733.2026.11507596,https://doi.org/10.1109/icsft66733.2026.11507596,https://openalex.org/W7160940050,0,False,closed,OpenAlex,"The rise of automated bots has reduced the effectiveness of traditional CAPTCHA systems. Designed as reverse Turing tests to prevent credential stuffing, spam, and unauthorized account creation, CAPTCHAs are now facing growing challenges due to advances in deep learning, particularly convolutional neural networks (CNNs), which enable automated solvers to bypass these systems with high accuracy. This study investigates the vulnerability of CNN-based CAPTCHA solvers to small adversarial perturbations, demonstrating that even minor input modifications can significantly deteriorate model performance. Furthermore, lightweight defense strategies are evaluated to counter such attacks while preserving human readability. These results highlight the urgent need to strengthen CAPTCHA mechanisms against adversarial threats while ensuring that security enhancements do not compromise user accessibility.",902,,,,User Authentication and Security Systems,0.8082,Adversarial Robustness in Machine Learning,Emotion and Mood Recognition,Information Systems,Computer Science,Physical Sciences,User Authentication and Security Systems; Adversarial Robustness in Machine Learning; Emotion and Mood Recognition,Adversarial system; CAPTCHA; Key (lock); Password; Adversary,Adversarial system; Computer security; Computer science; CAPTCHA; Internet privacy; Key (lock),Cyber University; Technical University of Applied Sciences Würzburg-Schweinfurt,DE; JP,7,4,,False,True,medium
W7138220045,Cross-lingual semantic alignment and transfer learning using multilingual language models,2026,article,International Journal of Power Electronics and Drive Systems/International Journal of Electrical and Computer Engineering,10.11591/ijece.v16i2.pp973-980,https://doi.org/10.11591/ijece.v16i2.pp973-980,https://openalex.org/W7138220045,0,True,diamond,OpenAlex,"Multilingual language models (MLMs) are widely used for cross-lingual tasks, yet their ability to achieve consistent semantic alignment and transfer to low-resource languages remains limited. This work examines cross-lingual semantic alignment and transfer learning through a comparative evaluation of MLMs at both the word and sentence levels. We analyze general-purpose models such as BLOOM and task-specialized models including LaBSE and XLM-R across English, French, Hindi, and Kannada. Word-level experiments show that LaBSE achieves substantially higher cosine similarity scores of above 0.80 across languages. In sentence-level natural language inference, XLM-R outperforms other models, achieving an F1 score of 68.62% on Kannada and 74.81% on French. These results indicate that model specialization and training objectives play a crucial role in cross-lingual performance, particularly for low-resource languages, and should be carefully considered when deploying multilingual natural language processing (NLP) systems.",1029,International Journal of Power Electronics and Drive Systems/International Journal of Electrical and Computer Engineering,journal,,Topic Modeling,0.2403,Multimodal Machine Learning Applications,ICT in Developing Communities,Artificial Intelligence,Computer Science,Physical Sciences,Topic Modeling; Multimodal Machine Learning Applications; ICT in Developing Communities,Sentence; Cosine similarity; Transfer of learning; Natural language; Similarity (geometry); Language model; Word (group theory); Transfer (computing),Computer science; Natural language processing; Artificial intelligence; Sentence; Cosine similarity; Transfer of learning; Natural language; Similarity (geometry); Language model; Word (group theory); Transfer (computing); Multilingualism; Semantic similarity; Machine translation; Training set; Natural language understanding; Computational linguistics,Rock Valley College,US,4,0,https://ijece.iaescore.com/index.php/IJECE/article/download/40963/18700,False,True,medium
W7126414230,Dynamic Image Analysis of Microscopic Particles,2026,conference-paper,Communications in computer and information science,10.1007/978-3-032-14534-5_9,https://doi.org/10.1007/978-3-032-14534-5_9,https://openalex.org/W7126414230,0,False,closed,OpenAlex,,0,Communications in computer and information science,book series,en,Image and Object Detection Techniques,0.325,Mineral Processing and Grinding,Image Processing Techniques and Applications,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,Image and Object Detection Techniques; Mineral Processing and Grinding; Image Processing Techniques and Applications,Tracking (education); Range (aeronautics); Image (mathematics); Image processing; Sample (material); Particle (ecology),Computer science; Tracking (education); Range (aeronautics); Image (mathematics); Image processing; Computer vision; Sample (material); Particle (ecology); Artificial intelligence; Dynamic range; Particle filter; Pattern recognition (psychology); Image enhancement,D A Pandu Memorial RV Dental College and Hospital; R.V. College of Engineering,IN,7,14,,True,True,high
W7163925522,Enhancing fake news detection: a hybrid BERT-XGBoost model for improved performance and interpretability,2026,article,IAES International Journal of Artificial Intelligence,10.11591/ijai.v15.i3.pp2385-2397,https://doi.org/10.11591/ijai.v15.i3.pp2385-2397,https://openalex.org/W7163925522,0,True,diamond,OpenAlex,"The widespread spread of fake news poses a serious threat to the integrity of information. The dominant approach to detection involves end-to-end fine-tuning of large transformer models like bidirectional encoder representations from transformers (BERT), which, despite achieving high accuracy, often function as opaque “black boxes” with limited interpretability. This paper proposes and validates a hybrid, decoupled architecture that proves to be a more practical and powerful alternative. We first fine-tune a DistilBERT model on the full WELFake dataset of 71,537 articles after cleaning to create domain-specific embeddings. These high-dimensional vectors are then used as input features to train a robust extreme gradient boosting (XGBoost) classifier. The results demonstrate that the hybrid model achieves a state-of-the-art accuracy of 99.76%, slightly surpassing the already high performance of a standard end-to-end fine-tuned model. Crucially, this approach provides this top-tier performance while offering significant advantages in model interpretability through feature importance analysis. This work establishes that a decoupled architecture is not just a viable alternative but a superior practical strategy for combating misinformation, successfully balancing state-of-the-art accuracy with essential model transparency.",1339,IAES International Journal of Artificial Intelligence,journal,,Misinformation and Its Impacts,0.9961,Spam and Phishing Detection,Big Data and Digital Economy,Sociology and Political Science,Social Sciences,Social Sciences,Misinformation and Its Impacts; Spam and Phishing Detection; Big Data and Digital Economy,Interpretability; Transformer; Architecture; Encoder; Boosting (machine learning); Feature (linguistics); Preprocessor,Interpretability; Computer science; Transformer; Architecture; Artificial intelligence; Encoder; Boosting (machine learning); Machine learning; Feature (linguistics); Preprocessor; Language model; Function (biology); Feature vector; Robustness (evolution); Data mining,Nvidia (United States); R.V. College of Engineering,US,6,0,https://doi.org/10.11591/ijai.v15.i3.pp2385-2397,True,True,high
W7155355928,Multi-Layer Deep Learning Framework for Real-Time Phishing Detection with Explainability,2026,conference-paper,,10.1109/icoeca68095.2026.11485331,https://doi.org/10.1109/icoeca68095.2026.11485331,https://openalex.org/W7155355928,0,False,closed,OpenAlex,"Phishing attacks are among the biggest and growing cybersecurity risks, and fraudsters use social engineering. URL obfuscation, and use of Unicode homograph to circumvent the old email security systems. Available methods of detection are frequently not particularly accurate and have high false-positive rates in dealing with such sophisticated attacks. This paper presents Email Guard - A multi-layer phishing detection system, based on deep learning, machine learning, and rule-based analysis, that provides higher detection accuracy and interpretability of the system classification of features by URL using Gradient Boosting and classification of features by Logistic Regression at the decision level. Using a dataset of about 500 real-world emails consisting of legitimate, spam, and phishing emails, the system was trained and tested with a training set, validation set, and testing set. The experiments have shown that Email Guard has a total accuracy of 94.2%, precision and recall of 93.8% and 94.6% respectively and an average processing time of 0.23 seconds per email making it almost real time detection. Ablation analysis demonstrates a 12% accuracy improvement of the multi-layer architecture to a single layer method. Also, the system creates confidence scores and human-readable explanations, which make false-positive complaints 15% lower in user assessments.",1376,,,,Spam and Phishing Detection,0.6754,Imbalanced Data Classification Techniques,Misinformation and Its Impacts,Information Systems,Computer Science,Physical Sciences,Spam and Phishing Detection; Imbalanced Data Classification Techniques; Misinformation and Its Impacts,Deep learning; Artificial neural network; Feature (linguistics); Noise (video); Key (lock),Deep learning; Artificial intelligence; Computer science; Artificial neural network; Feature (linguistics),D A Pandu Memorial RV Dental College and Hospital; Indian Institute of Science Bangalore; R.V. College of Engineering,IN,6,10,,True,True,high
W7154109932,SaaS API Monitoring for Data Leakage and Access Anomalies: A Privacy-Aware and Adaptive Behavioral Analytics Framework for Enterprise Cloud Systems,2026,article,IEEE Access,10.1109/access.2026.3683585,https://doi.org/10.1109/access.2026.3683585,https://openalex.org/W7154109932,2,True,gold,OpenAlex,"Cloud-based Software as a Service (SaaS) generates large volumes of activity using dynamic, API-driven services, and traditional tools used for metadata scanning are unable to keep up with real-time visibility into that activity. Enterprise solutions that rely upon periodic or incremental scanning for that activity (e.g., Microsoft Purview) are unable to detect changes in permissions, exposure of files and anomalous user behavior. In this paper, we propose a solution that provides the ability to monitor and enforce policies in real-time at the firewall level through the use of a man-in-the-middle (MITM) proxy that allows for round-trip blocking of either users or permissions based on suspicious activity identified through visibility into file operations and sharing between users. This solution is designed to operate in conjunction with Microsoft Presidio to detect personally identifiable information (PII), utilizes an exponentially weighted moving average (EWMA)-based behavioral model for adaptive anomaly detection, and perform multi-cloud monitoring of SaaS solutions. A single administrative dashboard aggregates all events, sensitivity scores, relationships between permissions, anomalies and automatically enforced actions, thereby providing end-to-end visibility, fine-grained traceability, rapid response to high-risk events, and extensive cross-platform coverage. The privacy detection module powered by Microsoft Presidio achieved over 96% accuracy in identifying PII, which lays the groundwork for providing real-time, privacy-aware multi-cloud SaaS security.",1584,IEEE Access,journal,en,Software System Performance and Reliability,0.4659,Network Security and Intrusion Detection,Cloud Data Security Solutions,Computer Networks and Communications,Computer Science,Physical Sciences,Software System Performance and Reliability; Network Security and Intrusion Detection; Cloud Data Security Solutions,Cloud computing; Software as a service; Leakage (economics); Analytics; Data modeling; Information leakage; Data access; Behavioral modeling,Computer science; Cloud computing; Software as a service; Leakage (economics); Analytics; Database; Data modeling; Information leakage; Data access; Behavioral modeling; Data analysis; Server,Cyber University; Juniper Networks (United States); R.V. College of Engineering,JP; US,11,0,https://doi.org/10.1109/access.2026.3683585,True,True,high
W7160615856,Two Steps Are All You Need: Efficient 3D Point Cloud Anomaly Detection with Consistency Models,2026,preprint,arXiv (Cornell University),10.48550/arxiv.2605.05372,https://doi.org/10.48550/arxiv.2605.05372,https://openalex.org/W7160615856,0,True,green,OpenAlex,"Diffusion models are rapidly redefining 3D anomaly detection in point cloud data. As 3D sensing becomes integral to modern manufacturing, reliable anomaly detection is essential for high-throughput quality assurance and process control. Yet practical deployment on resource-constrained, latency-critical systems remains limited. Existing methods are often computationally prohibitive or unreliable in complex, unmasked regions, and diffusion pipelines are inherently bottlenecked by iterative denoising. In this work, we address this bottleneck by reformulating reconstructionbased anomaly detection through consistency learning, enabling direct prediction of anomaly-free geometry in one or two network evaluations. We further introduce a novel hybrid loss formulation that explicitly enforces reconstruction toward clean data. This design substantially reduces inference cost, achieving up to 80x faster runtime than the current state-of-the-art method, without GPU acceleration, while preserving strong detection performance. It outperforms R3D-AD on Anomaly-ShapeNet with 76.20% I-AUROC and remains competitive on Real3DAD with 72.80% I-AUROC, enabling efficient, low-latency anomaly detection on resource-constrained platforms, including drones, smart industrial cameras, and other edge devices.",1300,arXiv (Cornell University),repository,,Anomaly Detection Techniques and Applications,0.6282,3D Shape Modeling and Analysis,Adversarial Robustness in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences,Anomaly Detection Techniques and Applications; 3D Shape Modeling and Analysis; Adversarial Robustness in Machine Learning,Anomaly detection; Consistency (knowledge bases); Point cloud; Inference; Bottleneck; Process (computing); Enhanced Data Rates for GSM Evolution; Cloud computing,Anomaly detection; Computer science; Consistency (knowledge bases); Point cloud; Inference; Data mining; Bottleneck; Process (computing); Enhanced Data Rates for GSM Evolution; Cloud computing; Anomaly (physics); Data consistency; Software deployment; Pipeline transport; Iterative and incremental development; Algorithm,,,6,0,https://doi.org/10.48550/arxiv.2605.05372,False,True,medium
